"id","code","libelle","definition"
"1","ADR","SROE-ARMOIRE DE RUE","SRO Exterieur au sens de la reglementation, contenu dans une armoire de rue."
"2","SHE","SROE-SHELTER","SRO Exterieur au sens de la reglementation, contenu dans un shelter"
"3","LTE","SROE-LOCAL TECHNIQUE","SRO Exterieur au sens de la reglementation, contenu dans un local technique, par exemple NRO."
"4","PME","SRO-EXTERIEUR","SRO Exterieur au sens de la reglementation, dont l information du contenu n est pas disponible dans le SI de l OI."
"5","PMI","SRO-INTERIEUR","Situe dans une partie privative necessitant l accord d un tiers (syndic, gestionnaire) en plus de l accord de l OI."
