"id","code","libelle","definition"
"1","0","VIDE","Infrastructure vide"
"2","1.1","NON VIDE EXPLOITABLE","Infrastructure non vide mais exploitable car rangee"
"3","1.2","NON VIDE NON EXPLOITABLE","Infrastructure non vide mais non exploitable car non rangee"
"4","2","SATUREE","Infrastructure saturee"
