"id","code","libelle","definition"
"1","HS","A CHANGER","L infrastructure doit etre changee car la moindre intervention peut etre prejudiciable a la fourniture du service"
"2","ME","MAUVAIS ETAT","Mauvais etat general de l infrastructure qui ne permet pas certaines interventions"
"3","OK","BON ETAT","Bon etat general qui permet de realiser toute operation de maintenance, d exploitation ou d evolution"
"4","NC","NON CONCERNE",""
