"id","code","libelle","definition"
"1","CO","CONNECTEUR",""
"2","EP","EPISSURE",""
"3","PI","PIGTAIL",""
"4","AT","ATTENTE","Fibres optiques utiles ou disponibles en attente"
"5","PA","PASSAGE",""
"6","MA","MANŒUVRE","Fibres optiques en attente dans une des deux positions d une cassette réelle qui n as pas d assignation"
