"id","code","libelle","definition"
"1","ADR","ARMOIRE DE RUE",""
"2","BAT","BATIMENT",""
"3","CHV","CHAMBRE VISITABLE","Chambre accueillant au moins une baie, donc traitee comme un site technique."
"4","COF","COFFRET","Notamment coffrets qui peuvent etre fixes sur des appuis et qui font office d armoires."
"5","POH","POINT HAUT","Site spécifique dédié à l émission radio. Les bâtiments utilisés comme support d antenne sont décris comme des bâtiments (BAT)."
"6","SHE","SHELTER",""
"7","STR","CONSTRUCTION SOUTERRAINE","Espace souterrain amenage et Visitable comportant un ou plusieurs locaux techniques et accueillant au moins une baie."
