"id","code","libelle","definition"
"1","E","EXISTANT",""
"2","C","A CREER",""
"3","T","TRAVAUX",""
"4","S","EN SERVICE",""
"5","H","HORS SERVICE",""
"6","A","ABANDONNE",""
