"id","code","libelle","definition"
"1","PL","PLANIFIE",""
"2","EC","EN COURS DE DEPLOIEMENT","En cours d installation, sans qu une definition precise n ait ete partagee en Interop."
"3","DP","DEPLOYE","Installe. Doit alors etre mis a disposition des operateurs ayant achete le SRO."
"4","AB","ABANDONNE","Le SRO est abandonne. Cet etat doit apparaitre pendant 3 mois."
