"code","libelle","definition"
"PL","PLANIFIE",""
"EC","EN COURS DE DEPLOIEMENT","En cours d installation, sans qu une definition precise n ait ete partagee en Interop."
"DP","DEPLOYE","Installe. Doit alors etre mis a disposition des operateurs ayant achete le SRO."
"AB","ABANDONNE","Le SRO est abandonne. Cet etat doit apparaitre pendant 3 mois."
