"id","code","libelle","definition"
"1","CLIENT","SITES HEBERGEANT DES UTILISATEURS","Un site qui contient au moins un local à raccorder est un site client"
"2","RESEAU","SITE UTILISE UNIQUEMENT POUR HEBERGER UN/DES EQUIPEMENTS(S) PASSIF(S) ET/OU ACTIF(S)","Un site qui ne contient que des élements réseaux est un site réseaux. "
