"id","code","libelle","definition"
"1","BPE","BOITIER PROTECTION EPISSURE",""
"2","BPI","BOITIER PIED IMMEUBLE",""
"3","PTO","POINT DE TERMINAISON OPTIQUE",""
"4","PBO","POINT DE BRANCHEMENT OPTIQUE",""
"5","DTI","DISPOSITIF DE TERMINAISON INTERIEUR OPTIQUE","PTO pose par le constructeur d immeuble."
