"id","code","libelle","definition"
"1","BA","BAIE",""
"2","BP","ELEMENT DE BRANCHEMENT PASSIF",""
"3","CA","CABLE",""
"4","CS","CASSETTE",""
"5","CT","COUPE TYPE",""
"6","EQ","EQUIPEMENT",""
"7","PT","POINT TECHNIQUE",""
"8","ST","SITE",""
"9","TI","TIROIR",""
